query_number,query_type,query_boy,query_girl,age_group,,comments,image_count,answer,hint,query_nikud,semantics,category PLS,test goal,הוספת תמונות,שינוי כללי,רמזים,expected_full_ai,expected_full_parents,expected_partial,expected_wrong
54,הבעה, תספר לי למה הילד עצוב?,תספרי לי למה הילד עצוב?,4:00-5:00,,הילד מבין את הסיטואציה מתוך התמונה,1,,להכווין את הילד לסיטואציה החברתית שמתרחשת,לָמָּה הַיֶּלֶד עָצוּב,מיומניות שפה אינטגרטיביות,מיומניות שפה אינטגרטיביות,הסקת מסקנות מסיטואציה חברתית,,להחליף תמונה שלחתי לך,,"בגלל שהילדים צוחקים עליו,
 כי הם לא מתנהיגים אליו יפה, כי הםא אומרים עליו סוד","בגלל שהילדים צוחקים עליו,
 כי הם לא מתנהיגים אליו יפה, כי הםא אומרים עליו סוד","כי הוא בוכה, כי הא רוצה את אמא, בגלל שאין לו חברים","ככה, כי הוא יושב, איפה אמא שלו"
55,הבעה,"תספר לי מה קרה, לפי הסדר","תספרי לי מה קרה, לפי הסדר",4:00-5:00,,תסביר מה קרה לפי הסדר,4,,להכווין את הילד: מה הוא עושה בהתחלה? ועכשיו? ובסוף? ועכשיו תגיד הכל יחד,סַפֵּר מָה קָרָה לְפִי הַסֵּדֶר,מבנה שפה,תחביר,תאור רצף שגרת בוקר ים התחלה טמצע וסוף,,,,"היא קמה בבוקר, צחצחה שיניים,
 אכלה ארוחת בוקר ואז היא הלכה לגן","""היא קמה בבוקר, צחצחה שיניים,
 אכלה ארוחת בוקר ואז היא הלכה לגן""",הלכה לישון ואכלה ארוחת ערב ואז היא קמה ואז היא הלכה לגן,
56,הבעה, תגיד לי במה אנחנו משתמשים כדי לפתוח דלת נעולה? או לפתוח מנעול?, תגידי לי במה אנחנו משתמשים כדי לפתוח דלת נעולה או לפתוח מנעול,4:00-5:00,,"זיהוי פריט מתוך הגדרה בלבד ללא תמונה
מפתח",1,,ניתן לעשות מחווה של מפתח,בְּמָה אֲנַחְנוּ מִשְׁתַּמְּשִׁים כְּדֵי לִפְתֹּחַ אֶת הַדֶּלֶת? אוֹ מַנְעול?,מיומניות שפה אינטגרטיביות,מיומניות שפה אינטגרטיביות,זיהוי פריט מתוך הגדרה בלבד,,,,"מפתח, מפתחות","מפתח, מפתחות",מנעול,זה שפותח
57,הבעה," תגיד לי איזו חיה שואגת, ויש לה רעמה?","תגידי לי איזו חיה שואגת, ויש לה רעמה?",4:00-5:00,,"זיהוי פריט מתוך הגדרה בלבד ללא תמונה.
אריה",1,,הוא גם מלך החיות,אֵיזוֹ חַיָּה גָּרָה בַּגּ'וּנְגֵּל וְיֵשׁ לָהּ רַעֲמָה?,מיומניות שפה אינטגרטיביות,מיומניות שפה אינטגרטיביות,זיהוי פריט מתוך הגדרה בלבד,,,,אריה,אריה,נמר,
58,הבעה, תגיד לי מה מבולבל בתמונות? ,תגידי לי מה מבולבל בתמונות? ,4:00-5:00,,"הבנת אבסורד והומור
מצליח בלפחות תמונה אחת",2,,מה משונה בדג? מה משונה בילדה?,מָה מַצְחִיק בַּתְּמוּנָה?,מיומניות שפה אינטגרטיביות,מיומניות שפה אינטגרטיביות,הבנת אבסורד והומור,,,,"לדג יש כנפיים, הילדה מצחצחת שיניים עם תירס
, הדג בשמיים, הילדה אוכלת תירס במקלחת

","""לדג יש כנפיים, הילדה מצחצחת שיניים עם תירס
, הדג בשמיים, הילדה אוכלת תירס במקלחת

""","שוחה עם כנפיים, היא אוכלת תירס","כי זה מצחיק, כי יש לה משחה"
59,הבעה,"בוא נדמיין שאמא אף פעם לא ראתה מכונית, תנסה לתאר לה מה זו מכונית","בואי נדמיין שאמא אף פעם לא ראתה מכונית, תנסי לתאר לה מה זו מכונית",4:00-5:00,,"מציין לפחות 3 תכונות של המכונית
מהירה, יש לה גלגלים, נוסעת על הכביש, יש לנו כזה, מסיעה אנשים למקומות ",1,,תסתכל על התמונה או תחשוב על האוטו שלנו,בּוֹא נְדַמְיֵן שֶׁאִמָּא אַף פַּעַם לֹא רָאֲתָה מְכוֹנִית. תְּנַסֶּה לְתָאֵר לָהּ מָה זֶה מְכוֹנִית,מיומניות שפה אינטגרטיביות,מיומניות שפה אינטגרטיביות,הגדרת מילים,,,,"נוהגים בה, נוסעים, יש לה גלגלים, 
יש לה הגה, היא על הכביש, ","מתאר לפחות 2 מאפיינים חיצונים (הגה, גלגלים, )
מתאר לפחות שימוש אחד (נוסעים בה, נוהגים, מגיעים לסבתא, 
היא נוסעת על הכביש)","יש לאמ\אבא כזה, יש לנו בבית, זה אוטו, ",זה אוטו ככה
60,הבעה, תגיד לי למה צריך לצחצח שיניים?,תגידי לי למה צריך לצחצחצ שיניים,4:00-5:00,,שימוש במשפטי תכלית (כדי ש),1,,"הכוון את הילד לשימוש בתבנית ""כדי ש""",למה צריך לצחצח שיניים?,מבנה שפה,תחביר,הפקת משפטים מורכבים,,,,"שימוש בכדי ש : כדי שלא יהיו חורים
, כדי שלא יהיו חיידקים, 
כדי שלא יכאבו לנו השיניים","""שימוש בכדי ש : כדי שלא יהיו חורים
, כדי שלא יהיו חיידקים, 
כדי שלא יכאבו לנו השיניים""","שימוש ב גי: כי יש לנו חורים,
 כי אמא אומרת, כי ","חיידקים, הרבה, כואב, יש לי שיניים"
61,הבעה,"תגיד לי, באיזה צליל מתחילה המילה ""בית""","תגידי לי, באיזה צליל מתחילה המילה ""בית""",5:00-6:00,,זיהוי צליל פותח: בה,1,,הקראה איטית והדגשה של הצליל הפותח,בַּיִת מַתְחִיל בְ?,מודעות פונולוגית,מודעות פונולוגית,מודעות פונולוגית,,,,"BA 
BE
BB 'אומר את האות ב","BA 
BE
BB 'אומר את האות ב",בו בי,בית
62,הבעה,"תגיד לי, באיזה צליל מתחילה המילה ""דלת""","תגידי לי, באיזה צליל מתחילה המילה ""דלת""",5:00-6:00,,זיהוי צליל פותח: ד,1,,הקראה איטית והדגשה של הצליל הפותח,דֶּלֶת מַתְחִילָה בְ?,מודעות פונולוגית,מודעות פונולוגית,מודעות פונולוגית,,,,"DA
DE
DD אומר את האות ד","DA
DE
DD אומר את האות ד",די דו,דלת
63,הבעה,"מה קרה לילדה, מה היא יכולה לשאול את אמא?","מה קרה לילדה, מה היא יכולה לשאול את אמא?",5:00-6:00,,הבנת סיטואציה מתוך תמונה וניסוח שאלה מתאימה,1,,להצביע על הרגל של הילדה,מָה קָרָה לַיַּלְדָּה? מָה הִיא יְכוֹלָה לִשְׁאֹל אֶת אִמָּא?,מבנה שפה,תחביר,הבנת סיטואציה מתוך תמונה וניסוח שאלה מתאימה,,,,"איפה הנעל שלי, תעזרי לי לחפש את הנעל,
אני לא מוצאת תעזרי לי

","איפה הנעל שלי, תעזרי לי לחפש את הנעל,
אני לא מוצאת תעזרי לי

","אין לה נעל, אמא בואי",
64,הבעה,מה הילד עושה? ומה האמא עושה?,מה הילד עושה? ומה האמא עושה?,5:00-6:00,,הילד אוכל והאמא מאכילה,2,,מה אמא עושה לו?,מָה הַיֶּלֶד עוֹשֶׂה? וּמָה הָאִמָּא עוֹשָׂה?,מבנה שפה,תחביר,הפקת פעלים פעיל וסביל,,,,אוכל מאכילה,אוכל מאכילה,אוכל  מאכלת אותו,אוכל אוכלת
65,הבעה,אם רוצים להגיד על משהו שהוא קר מאוד אז אומרים שהוא קר כמו?,אם רוצים להגיד על משהו שהוא קר מאוד אז אומרים שהוא קר כמו?,5:00-6:00,,משלים דימוי: קרח,1,,"אם הילד לא מכיר את הדימוי , ניתן לתת לו פתרון לשאלה הזו ","אִם מַשֶּׁהוּ קַר, אָז אוֹמְרִים שֶׁזֶּה קַר כְּמוֹ?",סמנטיקה,מיומניות שפה אינטגרטיביות,השלמת דימויים,,,,קרח,קרח,מקרר,קר מאוד
66,הבעה,אם נגעתי במשהו חד אז זה חד כמו?,אם נגעתי במשהו חד אז זה חד כמו?,5:00-6:00,,חד כמו סכין,1,,,אִם נָגַעְתִּי בְּמַשֶּׁהוּ חַד אָז זֶה חַד כְּמוֹ?,סמנטיקה,מיומניות שפה אינטגרטיביות,השלמת דימויים,,,,סכין,סכין,"קוץ, חוד, עיפרון, שיפוד",כואב
67,הבעה,"אם אני שוחה טוב מאוד, אז אפשר להגיד שאני שוחה כמו?","אם אני שוחה טוב מאוד, אז אפשר להגיד שאני שוחה כמו?",5:00-6:00,,שוחה כמו דג,1,,,"אִם אֲנִי שׂוֹחֶה טוֹב מְאוֹד, אָז אֶפְשָׁר לְהַגִּיד שֶׁאֲנִי שׂוֹחֶה כְּמוֹ?",סמנטיקה,מיומניות שפה אינטגרטיביות,השלמת דימויים,,,,דג,דג,"כריש, ליוויתן, כלב ים, דולפין",במים
68,הבעה,למה הילד מאוכזב?,למה הילד מאוכזב?,5:00-6:00,,הילד מאוכזב כי חנות הגלידה סגורה,1,,להכווין את הילד להסתכל על החנות גלידה,לָמָּה הַיֶּלֶד מְאֻכְזָב?,מבנה שפה,תחביר,הסקת מסקנות,,,,כי החנות גלידה סגורה והוא רצה גלידה,כי החנות גלידה סגורה והוא רצה גלידה,כי אין לו גלידה,כי הוא רוצה את אמא
